S,OptionValue
0,0
1.75,4.79052e-038
3.5,5.88144e-035
5.25,2.12271e-032
7,3.58003e-030
8.75,3.46161e-028
10.5,2.15678e-026
12.25,9.34449e-025
14,2.97142e-023
15.75,7.22114e-022
17.5,1.3843e-020
19.25,2.14755e-019
21,2.75396e-018
22.75,2.97209e-017
24.5,2.74133e-016
26.25,2.19025e-015
28,1.53395e-014
29.75,9.51676e-014
31.5,5.27991e-013
33.25,2.64189e-012
35,1.20141e-011
36.75,5.00025e-011
38.5,1.9168e-010
40.25,6.8072e-010
42,2.25152e-009
43.75,6.96974e-009
45.5,2.02829e-008
47.25,5.57192e-008
49,1.45038e-007
50.75,3.58987e-007
52.5,8.47597e-007
54.25,1.91472e-006
56,4.14971e-006
57.75,8.65028e-006
59.5,1.73846e-005
61.25,3.37572e-005
63,6.34625e-005
64.75,0.000115726
66.5,0.000205053
68.25,0.000353615
70,0.000594403
71.75,0.000975284
73.5,0.00156406
75.25,0.00245462
77,0.00377417
78.75,0.00569161
80.5,0.00842679
82.25,0.0122607
84,0.0175461
85.75,0.0247184
87.5,0.0343063
89.25,0.0469424
91,0.0633716
92.75,0.0844592
94.5,0.111197
96.25,0.144704
98,0.186233
99.75,0.237161
101.5,0.298991
103.25,0.373337
105,0.461918
106.75,0.566544
108.5,0.689095
110.25,0.831507
112,0.995748
113.75,1.1838
115.5,1.39764
117.25,1.6392
119,1.91036
120.75,2.21294
122.5,2.54865
124.25,2.91909
126,3.32571
127.75,3.76985
129.5,4.25267
131.25,4.77517
133,5.33817
134.75,5.94231
136.5,6.58808
138.25,7.27576
140,8.00546
141.75,8.77714
143.5,9.59058
145.25,10.4454
147,11.3411
148.75,12.277
150.5,13.2524
152.25,14.2664
154,15.3179
155.75,16.406
157.5,17.5295
159.25,18.6871
161,19.8778
162.75,21.1
164.5,22.3527
166.25,23.6344
168,24.9438
169.75,26.2796
171.5,27.6404
173.25,29.025
175,30.4321
176.75,31.8604
178.5,33.3088
180.25,34.7759
182,36.2608
183.75,37.7622
185.5,39.2793
187.25,40.8108
189,42.356
190.75,43.9138
192.5,45.4834
194.25,47.064
196,48.6549
197.75,50.2552
199.5,51.8644
201.25,53.4818
203,55.1068
204.75,56.7388
206.5,58.3774
208.25,60.022
210,61.6723
211.75,63.3278
213.5,64.9881
215.25,66.6529
217,68.322
218.75,69.9949
220.5,71.6715
222.25,73.3514
224,75.0346
225.75,76.7207
227.5,78.4097
229.25,80.1013
231,81.7954
232.75,83.492
234.5,85.1907
236.25,86.8917
238,88.5948
239.75,90.2998
241.5,92.0068
243.25,93.7157
245,95.4265
246.75,97.139
248.5,98.8533
250.25,100.569
252,102.287
253.75,104.007
255.5,105.728
257.25,107.451
259,109.175
260.75,110.901
262.5,112.629
264.25,114.359
266,116.09
267.75,117.823
269.5,119.558
271.25,121.294
273,123.032
274.75,124.772
276.5,126.514
278.25,128.258
280,130.003
281.75,131.751
283.5,133.5
285.25,135.25
287,137
288.75,138.75
290.5,140.5
292.25,142.25
294,144
295.75,145.75
297.5,147.5
299.25,149.25
301,151
302.75,152.75
304.5,154.5
306.25,156.25
308,158
309.75,159.75
311.5,161.5
313.25,163.25
315,165
316.75,166.75
318.5,168.5
320.25,170.25
322,172
323.75,173.75
325.5,175.5
327.25,177.25
329,179
330.75,180.75
332.5,182.5
334.25,184.25
336,186
337.75,187.75
339.5,189.5
341.25,191.25
343,193
344.75,194.75
346.5,196.5
348.25,198.25
350,200
