S,OptionValue
0,142.684
1.75,140.935
3.5,139.185
5.25,137.435
7,135.685
8.75,133.935
10.5,132.185
12.25,130.435
14,128.685
15.75,126.935
17.5,125.185
19.25,123.435
21,121.685
22.75,119.935
24.5,118.185
26.25,116.435
28,114.685
29.75,112.935
31.5,111.185
33.25,109.435
35,107.685
36.75,105.935
38.5,104.185
40.25,102.435
42,100.685
43.75,98.9353
45.5,97.1853
47.25,95.4353
49,93.6853
50.75,91.9353
52.5,90.1853
54.25,88.4353
56,86.6853
57.75,84.9353
59.5,83.1853
61.25,81.4354
63,79.6854
64.75,77.9355
66.5,76.1857
68.25,74.436
70,72.6864
71.75,70.9371
73.5,69.1882
75.25,67.4397
77,65.692
78.75,63.9452
80.5,62.1997
82.25,60.456
84,58.7145
85.75,56.9759
87.5,55.241
89.25,53.5105
91,51.7856
92.75,50.0674
94.5,48.3571
96.25,46.6564
98,44.9667
99.75,43.2897
101.5,41.6274
103.25,39.9817
105,38.3546
106.75,36.7482
108.5,35.1647
110.25,33.6063
112,32.075
113.75,30.573
115.5,29.1024
117.25,27.6651
119,26.2631
120.75,24.8979
122.5,23.5714
124.25,22.2848
126,21.0394
127.75,19.8363
129.5,18.6763
131.25,17.5601
133,16.4882
134.75,15.4609
136.5,14.4781
138.25,13.5398
140,12.6457
141.75,11.7953
143.5,10.988
145.25,10.2229
147,9.49932
148.75,8.81607
150.5,8.17207
152.25,7.56611
154,6.9969
155.75,6.46309
157.5,5.96329
159.25,5.49606
161,5.05996
162.75,4.65354
164.5,4.27531
166.25,3.92385
168,3.59771
169.75,3.29548
171.5,3.01577
173.25,2.75726
175,2.51863
176.75,2.29863
178.5,2.09604
180.25,1.90971
182,1.73852
183.75,1.58143
185.5,1.43741
187.25,1.30553
189,1.18487
190.75,1.0746
192.5,0.97392
194.25,0.882075
196,0.798369
197.75,0.722146
199.5,0.652796
201.25,0.589753
203,0.532487
204.75,0.48051
206.5,0.433369
208.25,0.390644
210,0.351951
211.75,0.316931
213.5,0.285258
215.25,0.256629
217,0.230769
218.75,0.207424
220.5,0.18636
222.25,0.167367
224,0.15025
225.75,0.134831
227.5,0.12095
229.25,0.108458
231,0.0972234
232.75,0.0871229
234.5,0.0780465
236.25,0.0698938
238,0.0625739
239.75,0.0560043
241.5,0.0501104
243.25,0.0448246
245,0.040086
246.75,0.0358394
248.5,0.0320349
250.25,0.0286277
252,0.0255771
253.75,0.0228468
255.5,0.0204037
257.25,0.0182182
259,0.0162638
260.75,0.0145164
262.5,0.0129544
264.25,0.0115586
266,0.0103116
267.75,0.00919767
269.5,0.00820289
271.25,0.00731467
273,0.00652176
274.75,0.00581405
276.5,0.0051825
278.25,0.00461902
280,0.00411633
281.75,0.00366796
283.5,0.00326809
285.25,0.00291152
287,0.00259361
288.75,0.00231019
290.5,0.00205755
292.25,0.00183237
294,0.00163169
295.75,0.00145285
297.5,0.00129348
299.25,0.00115147
301,0.00102494
302.75,0.000912199
304.5,0.000811741
306.25,0.000722224
308,0.00064245
309.75,0.000571351
311.5,0.00050797
313.25,0.000451457
315,0.00040105
316.75,0.00035607
318.5,0.000315909
320.25,0.000280027
322,0.000247937
323.75,0.000219207
325.5,0.000193449
327.25,0.000170313
329,0.000149488
330.75,0.000130693
332.5,0.000113676
334.25,9.82084e-005
336,8.40836e-005
337.75,7.11144e-005
339.5,5.91305e-005
341.25,4.7976e-005
343,3.75079e-005
344.75,2.75945e-005
346.5,1.81135e-005
348.25,8.95101e-006
350,0
