Flight_ID,Airline,Type,Scheduled,Early,Late,Priority,Size,Cost,Gap
AI101,Air India,Landing,5,0,15,1,Medium,5.0,2
6E202,IndiGo,Takeoff,8,3,18,2,Small,4.0,1
UK301,Vistara,Landing,12,5,22,3,Large,6.0,3
VTI404,Vistara,Takeoff,15,10,25,2,Small,4.5,1
G8205,GoAir,Landing,18,10,28,2,Medium,5.0,2
AI106,Air India,Landing,20,12,32,1,Large,6.5,3
6E209,IndiGo,Takeoff,22,15,35,3,Small,3.5,1
UK310,Vistara,Landing,25,18,38,2,Medium,5.0,2
G8210,GoAir,Takeoff,28,20,40,2,Small,4.0,1
AI112,Air India,Landing,30,22,45,1,Large,7.0,3
6E215,IndiGo,Takeoff,33,25,48,3,Small,3.0,1
UK318,Vistara,Landing,35,27,50,2,Medium,5.0,2
G8218,GoAir,Takeoff,38,30,53,2,Small,4.0,1
AI120,Air India,Landing,40,30,55,1,Large,6.5,3
6E223,IndiGo,Takeoff,42,32,57,3,Small,3.5,1
UK325,Vistara,Landing,44,34,58,2,Medium,5.0,2
G8225,GoAir,Takeoff,46,36,59,2,Small,4.0,1
AI128,Air India,Landing,48,38,59,1,Large,7.0,3
6E230,IndiGo,Takeoff,50,40,59,3,Small,3.0,1
UK332,Vistara,Landing,52,42,59,2,Medium,5.0,2
G8232,GoAir,Takeoff,54,44,59,2,Small,4.0,1
AI136,Air India,Landing,56,46,59,1,Large,7.5,3
6E237,IndiGo,Takeoff,58,48,59,3,Small,3.5,1
UK339,Vistara,Landing,59,49,59,2,Medium,5.0,2
G8239,GoAir,Takeoff,60,50,59,2,Small,4.0,1
AI144,Air India,Landing,62,52,59,1,Large,8.0,3
6E244,IndiGo,Takeoff,64,54,59,3,Small,3.0,1
UK346,Vistara,Landing,66,56,59,2,Medium,5.0,2
G8246,GoAir,Takeoff,68,58,59,2,Small,4.0,1
AI152,Air India,Landing,70,60,59,1,Large,7.5,3
6E251,IndiGo,Takeoff,72,62,59,3,Small,3.5,1
AI200,Air India,Landing,75,65,90,1,Medium,5.5,2
6E300,IndiGo,Takeoff,78,68,95,2,Small,4.2,1
UK400,Vistara,Landing,82,72,100,3,Large,6.2,3
VTI500,Vistara,Takeoff,85,75,105,2,Small,4.7,1
G8300,GoAir,Landing,88,78,110,2,Medium,5.3,2
AI206,Air India,Landing,92,82,115,1,Large,6.8,3
6E309,IndiGo,Takeoff,95,85,120,3,Small,3.7,1
UK410,Vistara,Landing,98,88,125,2,Medium,5.2,2
G8310,GoAir,Takeoff,102,92,130,2,Small,4.1,1
AI212,Air India,Landing,105,95,135,1,Large,7.1,3
6E315,IndiGo,Takeoff,108,98,140,3,Small,3.2,1
UK418,Vistara,Landing,112,102,145,2,Medium,5.1,2
G8318,GoAir,Takeoff,115,105,150,2,Small,4.2,1
AI220,Air India,Landing,118,108,155,1,Large,6.6,3
6E323,IndiGo,Takeoff,121,111,160,3,Small,3.6,1
UK425,Vistara,Landing,124,114,165,2,Medium,5.3,2
G8325,GoAir,Takeoff,127,117,170,2,Small,4.1,1
AI228,Air India,Landing,130,120,175,1,Large,7.2,3
6E330,IndiGo,Takeoff,133,123,180,3,Small,3.1,1
UK432,Vistara,Landing,136,126,185,2,Medium,5.2,2
G8332,GoAir,Takeoff,139,129,190,2,Small,4.3,1
AI236,Air India,Landing,142,132,195,1,Large,7.6,3
6E337,IndiGo,Takeoff,145,135,200,3,Small,3.8,1
UK439,Vistara,Landing,148,138,205,2,Medium,5.4,2
G8339,GoAir,Takeoff,151,141,210,2,Small,4.2,1
AI244,Air India,Landing,154,144,215,1,Large,8.1,3
6E344,IndiGo,Takeoff,157,147,220,3,Small,3.3,1
UK446,Vistara,Landing,160,150,225,2,Medium,5.5,2
G8346,GoAir,Takeoff,163,153,230,2,Small,4.1,1
