Flight_ID,Airline,Type,Scheduled,Early,Late,Priority,Size,Cost,Gap
F001,Air India,Landing,0,0,180,1,Medium,5.0,2
F002,IndiGo,Takeoff,6,0,180,2,Small,4.0,1
F003,Vistara,Landing,12,0,180,3,Large,6.5,3
F004,SpiceJet,Takeoff,18,0,180,2,Small,4.2,1
F005,GoAir,Landing,24,0,180,2,Medium,5.2,2
F006,Air India,Landing,30,0,180,1,Large,7.0,3
F007,IndiGo,Takeoff,36,0,180,3,Small,3.8,1
F008,Vistara,Landing,42,0,180,2,Medium,5.3,2
F009,SpiceJet,Takeoff,48,0,180,2,Small,4.1,1
F010,GoAir,Landing,54,0,180,1,Large,7.2,3
F011,Air India,Takeoff,60,0,180,2,Small,4.3,1
F012,IndiGo,Landing,66,0,180,3,Medium,5.0,2
F013,Vistara,Takeoff,72,0,180,2,Small,4.0,1
F014,SpiceJet,Landing,78,0,180,1,Large,7.4,3
F015,GoAir,Takeoff,84,0,180,3,Small,3.9,1
F016,Air India,Landing,90,0,180,2,Medium,5.4,2
F017,IndiGo,Takeoff,96,0,180,2,Small,4.1,1
F018,Vistara,Landing,102,0,180,1,Large,7.6,3
F019,SpiceJet,Takeoff,108,0,180,3,Small,3.7,1
F020,GoAir,Landing,114,0,180,2,Medium,5.5,2
F021,Air India,Takeoff,120,0,180,2,Small,4.2,1
F022,IndiGo,Landing,126,0,180,3,Medium,5.1,2
F023,Vistara,Takeoff,132,0,180,2,Small,4.0,1
F024,SpiceJet,Landing,138,0,180,1,Large,7.3,3
F025,GoAir,Takeoff,144,0,180,3,Small,3.8,1
F026,Air India,Landing,150,0,180,2,Medium,5.2,2
F027,IndiGo,Takeoff,156,0,180,2,Small,4.1,1
F028,Vistara,Landing,162,0,180,1,Large,7.1,3
F029,SpiceJet,Takeoff,168,0,180,3,Small,3.6,1
F030,GoAir,Landing,174,0,180,2,Medium,5.3,2
